wordCutOff = 0
featCutOff = 0
charCutOff = 0
initRange = 0.01
maxIter = 1000
batchSize = 1
adaEps = 1e-06
adaAlpha = 0.01
regParameter = 1e-08
dropProb = 0
linearHiddenSize = 30
hiddenSize = 200
rnnHiddenSize = 300
wordEmbSize = 50
wordcontext = 2
wordEmbFineTune = 1
charEmbSize = 50
charcontext = 2
charEmbFineTune = 1
charhiddenSize = 50
verboseIter = 100
saveItermediate = 1
train = 0
maxInstance = -1
outBest = 
relu = 0
seg = 0
atomLayers = 1
rnnLayers = 1

instance num: 16091

instance num: 803
Creating Alphabet...
100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 
4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000 6100 6200 6300 6400 6500 6600 6700 6800 6900 7000 7100 7200 7300 7400 7500 7600 7700 7800 7900 8000 
8100 8200 8300 8400 8500 8600 8700 8800 8900 9000 9100 9200 9300 9400 9500 9600 9700 9800 9900 10000 10100 10200 10300 10400 10500 10600 10700 10800 10900 11000 11100 11200 11300 11400 11500 11600 11700 11800 11900 12000 
12100 12200 12300 12400 12500 12600 12700 12800 12900 13000 13100 13200 13300 13400 13500 13600 13700 13800 13900 14000 14100 14200 14300 14400 14500 14600 14700 14800 14900 15000 15100 15200 15300 15400 15500 15600 15700 15800 15900 16000 
16091 
Label num: 32
Total word num: 34336
Total char num: 4085
Total feature num: 905734
Remain feature num: 905734
Remain words num: 34338
Remain char num: 4087
100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 
4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000 6100 6200 6300 6400 6500 6600 6700 6800 6900 7000 7100 7200 7300 7400 7500 7600 7700 7800 7900 8000 
8100 8200 8300 8400 8500 8600 8700 8800 8900 9000 9100 9200 9300 9400 9500 9600 9700 9800 9900 10000 10100 10200 10300 10400 10500 10600 10700 10800 10900 11000 11100 11200 11300 11400 11500 11600 11700 11800 11900 12000 
12100 12200 12300 12400 12500 12600 12700 12800 12900 13000 13100 13200 13300 13400 13500 13600 13700 13800 13900 14000 14100 14200 14300 14400 14500 14600 14700 14800 14900 15000 15100 15200 15300 15400 15500 15600 15700 15800 15900 16000 
16091 
100 200 300 400 500 600 700 800 803 
0 
##### Iteration 0
current: 100, total block: 16091
Cost = 8, Tag Correct(%) = 0.555692
current: 4000, total block: 16091
Cost = 0, Tag Correct(%) = 0.559215
current: 4100, total block: 16091
Cost = 1, Tag Correct(%) = 0.563318
current: 4200, total block: 16091
Cost = 12, Tag Correct(%) = 0.567763
current: 4300, total block: 16091
Cost = 1, Tag Correct(%) = 0.572496
current: 4400, total block: 16091
Cost = 7, Tag Correct(%) = 0.576259
current: 4500, total block: 16091
Cost = 2, Tag Correct(%) = 0.580499
current: 4600, total block: 16091
Cost = 1, Tag Correct(%) = 0.583442
current: 4700, total block: 16091
Cost = 17, Tag Correct(%) = 0.586939
current: 4800, total block: 16091
Cost = 8, Tag Correct(%) = 0.590631
current: 4900, total block: 16091
Cost = 10, Tag Correct(%) = 0.594088
current: 5000, total block: 16091
Cost = 7, Tag Correct(%) = 0.597269
current: 5100, total block: 16091
Cost = 5, Tag Correct(%) = 0.600766
current: 5200, total block: 16091
Cost = 7, Tag Correct(%) = 0.603832
current: 5300, total block: 16091
Cost = 1, Tag Correct(%) = 0.606313
current: 5400, total block: 16091
Cost = 1, Tag Correct(%) = 0.609095
current: 5500, total block: 16091
Cost = 17, Tag Correct(%) = 0.61245
current: 5600, total block: 16091
Cost = 7, Tag Correct(%) = 0.614955
current: 5700, total block: 16091
Cost = 22, Tag Correct(%) = 0.617269
current: 5800, total block: 16091
Cost = 7, Tag Correct(%) = 0.619847
current: 5900, total block: 16091
Cost = 2, Tag Correct(%) = 0.62259
current: 6000, total block: 16091
Cost = 23, Tag Correct(%) = 0.625366
current: 6100, total block: 16091
Cost = 19, Tag Correct(%) = 0.627976
current: 6200, total block: 16091
Cost = 5, Tag Correct(%) = 0.630523
current: 6300, total block: 16091
Cost = 6, Tag Correct(%) = 0.632763
current: 6400, total block: 16091
Cost = 6, Tag Correct(%) = 0.634934
current: 6500, total block: 16091
Cost = 6, Tag Correct(%) = 0.637092
current: 6600, total block: 16091
Cost = 4, Tag Correct(%) = 0.639128
current: 6700, total block: 16091
Cost = 7, Tag Correct(%) = 0.641285
current: 6800, total block: 16091
Cost = 19, Tag Correct(%) = 0.643341
current: 6900, total block: 16091
Cost = 10, Tag Correct(%) = 0.64494
current: 7000, total block: 16091
Cost = 1, Tag Correct(%) = 0.646717
current: 7100, total block: 16091
Cost = 2, Tag Correct(%) = 0.648347
current: 7200, total block: 16091
Cost = 7, Tag Correct(%) = 0.650229
current: 7300, total block: 16091
Cost = 4, Tag Correct(%) = 0.65218
current: 7400, total block: 16091
Cost = 2, Tag Correct(%) = 0.653775
current: 7500, total block: 16091
Cost = 2, Tag Correct(%) = 0.655338
current: 7600, total block: 16091
Cost = 7, Tag Correct(%) = 0.656841
current: 7700, total block: 16091
Cost = 0, Tag Correct(%) = 0.658377
current: 7800, total block: 16091
Cost = 10, Tag Correct(%) = 0.660094
current: 7900, total block: 16091
Cost = 6, Tag Correct(%) = 0.661568
current: 8000, total block: 16091
Cost = 7, Tag Correct(%) = 0.663035
current: 8100, total block: 16091
Cost = 0, Tag Correct(%) = 0.664635
current: 8200, total block: 16091
Cost = 37, Tag Correct(%) = 0.666001
current: 8300, total block: 16091
Cost = 5, Tag Correct(%) = 0.6675
current: 8400, total block: 16091
Cost = 10, Tag Correct(%) = 0.669117
current: 8500, total block: 16091
Cost = 2, Tag Correct(%) = 0.670619
current: 8600, total block: 16091
Cost = 11, Tag Correct(%) = 0.671987
current: 8700, total block: 16091
Cost = 11, Tag Correct(%) = 0.67337
current: 8800, total block: 16091
Cost = 0, Tag Correct(%) = 0.674922
current: 8900, total block: 16091
Cost = 5, Tag Correct(%) = 0.67606
current: 9000, total block: 16091
Cost = 5, Tag Correct(%) = 0.677509
current: 9100, total block: 16091
Cost = 1, Tag Correct(%) = 0.678911
current: 9200, total block: 16091
Cost = 13, Tag Correct(%) = 0.680163
current: 9300, total block: 16091
Cost = 6, Tag Correct(%) = 0.681362
current: 9400, total block: 16091
Cost = 3, Tag Correct(%) = 0.682739
current: 9500, total block: 16091
Cost = 0, Tag Correct(%) = 0.684185
current: 9600, total block: 16091
Cost = 0, Tag Correct(%) = 0.685577
current: 9700, total block: 16091
Cost = 3, Tag Correct(%) = 0.68679
current: 9800, total block: 16091
Cost = 12, Tag Correct(%) = 0.687928
current: 9900, total block: 16091
Cost = 3, Tag Correct(%) = 0.689273
current: 10000, total block: 16091
Cost = 4, Tag Correct(%) = 0.690516
current: 10100, total block: 16091
Cost = 3, Tag Correct(%) = 0.691832
current: 10200, total block: 16091
Cost = 13, Tag Correct(%) = 0.692915
current: 10300, total block: 16091
Cost = 7, Tag Correct(%) = 0.694046
current: 10400, total block: 16091
Cost = 5, Tag Correct(%) = 0.695334
current: 10500, total block: 16091
Cost = 2, Tag Correct(%) = 0.696557
current: 10600, total block: 16091
Cost = 5, Tag Correct(%) = 0.697519
current: 10700, total block: 16091
Cost = 0, Tag Correct(%) = 0.698552
current: 10800, total block: 16091
Cost = 5, Tag Correct(%) = 0.699651
current: 10900, total block: 16091
Cost = 4, Tag Correct(%) = 0.700588
current: 11000, total block: 16091
Cost = 6, Tag Correct(%) = 0.701504
current: 11100, total block: 16091
Cost = 0, Tag Correct(%) = 0.702305
current: 11200, total block: 16091
Cost = 17, Tag Correct(%) = 0.703269
current: 11300, total block: 16091
Cost = 0, Tag Correct(%) = 0.704345
current: 11400, total block: 16091
Cost = 6, Tag Correct(%) = 0.705281
current: 11500, total block: 16091
Cost = 6, Tag Correct(%) = 0.706255
current: 11600, total block: 16091
Cost = 3, Tag Correct(%) = 0.707229
current: 11700, total block: 16091
Cost = 9, Tag Correct(%) = 0.708255
current: 11800, total block: 16091
Cost = 1, Tag Correct(%) = 0.709108
current: 11900, total block: 16091
Cost = 0, Tag Correct(%) = 0.709927
current: 12000, total block: 16091
Cost = 7, Tag Correct(%) = 0.710807
current: 12100, total block: 16091
Cost = 3, Tag Correct(%) = 0.711691
current: 12200, total block: 16091
Cost = 10, Tag Correct(%) = 0.712481
current: 12300, total block: 16091
Cost = 4, Tag Correct(%) = 0.713315
current: 12400, total block: 16091
Cost = 2, Tag Correct(%) = 0.714052
current: 12500, total block: 16091
Cost = 7, Tag Correct(%) = 0.715016
current: 12600, total block: 16091
Cost = 6, Tag Correct(%) = 0.715748
current: 12700, total block: 16091
Cost = 2, Tag Correct(%) = 0.716521
current: 12800, total block: 16091
Cost = 1, Tag Correct(%) = 0.717332
current: 12900, total block: 16091
Cost = 0, Tag Correct(%) = 0.717962
current: 13000, total block: 16091
Cost = 1, Tag Correct(%) = 0.718659
current: 13100, total block: 16091
Cost = 9, Tag Correct(%) = 0.719457
current: 13200, total block: 16091
Cost = 3, Tag Correct(%) = 0.720247
current: 13300, total block: 16091
Cost = 17, Tag Correct(%) = 0.720918
current: 13400, total block: 16091
Cost = 3, Tag Correct(%) = 0.721627
current: 13500, total block: 16091
Cost = 14, Tag Correct(%) = 0.72252
current: 13600, total block: 16091
Cost = 6, Tag Correct(%) = 0.723232
current: 13700, total block: 16091
Cost = 1, Tag Correct(%) = 0.72392
current: 13800, total block: 16091
Cost = 9, Tag Correct(%) = 0.72445
current: 13900, total block: 16091
Cost = 2, Tag Correct(%) = 0.72512
current: 14000, total block: 16091
Cost = 7, Tag Correct(%) = 0.725814
current: 14100, total block: 16091
Cost = 4, Tag Correct(%) = 0.726593
current: 14200, total block: 16091
Cost = 4, Tag Correct(%) = 0.727291
current: 14300, total block: 16091
Cost = 1, Tag Correct(%) = 0.728017
current: 14400, total block: 16091
Cost = 3, Tag Correct(%) = 0.728625
current: 14500, total block: 16091
Cost = 0, Tag Correct(%) = 0.729062
current: 14600, total block: 16091
Cost = 9, Tag Correct(%) = 0.729662
current: 14700, total block: 16091
Cost = 0, Tag Correct(%) = 0.730072
current: 14800, total block: 16091
Cost = 2, Tag Correct(%) = 0.730759
current: 14900, total block: 16091
Cost = 0, Tag Correct(%) = 0.731436
current: 15000, total block: 16091
Cost = 2, Tag Correct(%) = 0.731952
current: 15100, total block: 16091
Cost = 7, Tag Correct(%) = 0.732508
current: 15200, total block: 16091
Cost = 3, Tag Correct(%) = 0.733117
current: 15300, total block: 16091
Cost = 0, Tag Correct(%) = 0.733585
current: 15400, total block: 16091
Cost = 2, Tag Correct(%) = 0.734226
current: 15500, total block: 16091
Cost = 7, Tag Correct(%) = 0.73495
current: 15600, total block: 16091
Cost = 9, Tag Correct(%) = 0.735524
current: 15700, total block: 16091
Cost = 0, Tag Correct(%) = 0.736187
current: 15800, total block: 16091
Cost = 3, Tag Correct(%) = 0.736644
current: 15900, total block: 16091
Cost = 9, Tag Correct(%) = 0.737377
current: 16000, total block: 16091
Cost = 1, Tag Correct(%) = 0.737905
Accuracy:	P=18980/20454=0.927936
Exceeds best previous performance of 0. Saving model file..
##### Iteration 1
current: 9, total block: 16091
Cost = 2, Tag Correct(%) = 0.913043
current: 109, total block: 16091
Cost = 4, Tag Correct(%) = 0.869795
current: 209, total block: 16091
Cost = 1, Tag Correct(%) = 0.869112
current: 309, total block: 16091
Cost = 11, Tag Correct(%) = 0.862137
current: 409, total block: 16091
Cost = 2, Tag Correct(%) = 0.86332
current: 509, total block: 16091
Cost = 8, Tag Correct(%) = 0.862761
current: 609, total block: 16091
Cost = 1, Tag Correct(%) = 0.861808
current: 709, total block: 16091
Cost = 4, Tag Correct(%) = 0.862058
current: 809, total block: 16091
Cost = 3, Tag Correct(%) = 0.861603
current: 909, total block: 16091
Cost = 6, Tag Correct(%) = 0.860992
current: 1009, total block: 16091
Cost = 8, Tag Correct(%) = 0.859543
current: 1109, total block: 16091
Cost = 2, Tag Correct(%) = 0.860121
current: 1209, total block: 16091
Cost = 1, Tag Correct(%) = 0.861464
current: 1309, total block: 16091
Cost = 4, Tag Correct(%) = 0.8615
current: 1409, total block: 16091
Cost = 6, Tag Correct(%) = 0.861229
current: 1509, total block: 16091
Cost = 0, Tag Correct(%) = 0.860692
current: 1609, total block: 16091
Cost = 6, Tag Correct(%) = 0.860692
current: 1709, total block: 16091
Cost = 0, Tag Correct(%) = 0.860808
current: 1809, total block: 16091
Cost = 4, Tag Correct(%) = 0.861204
current: 1909, total block: 16091
Cost = 3, Tag Correct(%) = 0.861233
current: 2009, total block: 16091
Cost = 6, Tag Correct(%) = 0.861545
current: 2109, total block: 16091
Cost = 1, Tag Correct(%) = 0.861719
current: 2209, total block: 16091
Cost = 5, Tag Correct(%) = 0.861596
current: 2309, total block: 16091
Cost = 15, Tag Correct(%) = 0.861067
current: 2409, total block: 16091
Cost = 6, Tag Correct(%) = 0.861178
current: 2509, total block: 16091
Cost = 6, Tag Correct(%) = 0.860974
current: 2609, total block: 16091
Cost = 1, Tag Correct(%) = 0.86124
current: 2709, total block: 16091
Cost = 12, Tag Correct(%) = 0.861708
current: 2809, total block: 16091
Cost = 2, Tag Correct(%) = 0.861747
current: 2909, total block: 16091
Cost = 8, Tag Correct(%) = 0.861255
current: 3009, total block: 16091
Cost = 3, Tag Correct(%) = 0.861474
current: 3109, total block: 16091
Cost = 5, Tag Correct(%) = 0.861484
current: 3209, total block: 16091
Cost = 6, Tag Correct(%) = 0.861406
current: 3309, total block: 16091
Cost = 7, Tag Correct(%) = 0.861463
current: 3409, total block: 16091
Cost = 5, Tag Correct(%) = 0.861262
current: 3509, total block: 16091
Cost = 2, Tag Correct(%) = 0.861012
current: 3609, total block: 16091
Cost = 1, Tag Correct(%) = 0.860908
current: 3709, total block: 16091
Cost = 0, Tag Correct(%) = 0.860985
current: 3809, total block: 16091
Cost = 5, Tag Correct(%) = 0.861023
current: 3909, total block: 16091
Cost = 0, Tag Correct(%) = 0.861647
current: 4009, total block: 16091
Cost = 5, Tag Correct(%) = 0.861547
current: 4109, total block: 16091
Cost = 1, Tag Correct(%) = 0.862119
current: 4209, total block: 16091
Cost = 2, Tag Correct(%) = 0.862206
current: 4309, total block: 16091
Cost = 4, Tag Correct(%) = 0.862544
current: 4409, total block: 16091
Cost = 4, Tag Correct(%) = 0.862459
current: 4509, total block: 16091
Cost = 7, Tag Correct(%) = 0.862586
current: 4609, total block: 16091
Cost = 1, Tag Correct(%) = 0.862474
current: 4709, total block: 16091
Cost = 2, Tag Correct(%) = 0.862606
current: 4809, total block: 16091
Cost = 5, Tag Correct(%) = 0.862374
current: 4909, total block: 16091
Cost = 0, Tag Correct(%) = 0.862507
current: 5009, total block: 16091
Cost = 0, Tag Correct(%) = 0.862327
current: 5109, total block: 16091
Cost = 1, Tag Correct(%) = 0.862274
current: 5209, total block: 16091
Cost = 0, Tag Correct(%) = 0.862492
current: 5309, total block: 16091
Cost = 7, Tag Correct(%) = 0.862616
current: 5409, total block: 16091
Cost = 2, Tag Correct(%) = 0.862844
current: 5509, total block: 16091
Cost = 5, Tag Correct(%) = 0.862954
current: 5609, total block: 16091
Cost = 2, Tag Correct(%) = 0.863129
current: 5709, total block: 16091
Cost = 2, Tag Correct(%) = 0.863101
current: 5809, total block: 16091
Cost = 0, Tag Correct(%) = 0.863044
current: 5909, total block: 16091
Cost = 1, Tag Correct(%) = 0.863037
current: 6009, total block: 16091
Cost = 0, Tag Correct(%) = 0.863245
current: 6109, total block: 16091
Cost = 1, Tag Correct(%) = 0.863397
current: 6209, total block: 16091
Cost = 9, Tag Correct(%) = 0.863492
current: 6309, total block: 16091
Cost = 4, Tag Correct(%) = 0.863493
current: 6409, total block: 16091
Cost = 6, Tag Correct(%) = 0.863642
current: 6509, total block: 16091
Cost = 0, Tag Correct(%) = 0.863835
current: 6609, total block: 16091
Cost = 0, Tag Correct(%) = 0.863945
current: 6709, total block: 16091
Cost = 1, Tag Correct(%) = 0.863948
current: 6809, total block: 16091
Cost = 2, Tag Correct(%) = 0.86397
current: 6909, total block: 16091
Cost = 2, Tag Correct(%) = 0.864222
current: 7009, total block: 16091
Cost = 15, Tag Correct(%) = 0.864371
current: 7109, total block: 16091
Cost = 3, Tag Correct(%) = 0.86452
current: 7209, total block: 16091
Cost = 3, Tag Correct(%) = 0.864378
current: 7309, total block: 16091
Cost = 0, Tag Correct(%) = 0.864485
current: 7409, total block: 16091
Cost = 7, Tag Correct(%) = 0.864609
current: 7509, total block: 16091
Cost = 4, Tag Correct(%) = 0.865046
current: 7609, total block: 16091
Cost = 0, Tag Correct(%) = 0.86515
current: 7709, total block: 16091
Cost = 10, Tag Correct(%) = 0.865323
current: 7809, total block: 16091
Cost = 3, Tag Correct(%) = 0.865593
current: 7909, total block: 16091
Cost = 4, Tag Correct(%) = 0.865721
current: 8009, total block: 16091
Cost = 0, Tag Correct(%) = 0.865494
current: 8109, total block: 16091
Cost = 0, Tag Correct(%) = 0.865383
current: 8209, total block: 16091
Cost = 3, Tag Correct(%) = 0.865467
current: 8309, total block: 16091
Cost = 4, Tag Correct(%) = 0.865554
current: 8409, total block: 16091
Cost = 2, Tag Correct(%) = 0.865602
current: 8509, total block: 16091
Cost = 11, Tag Correct(%) = 0.865821
current: 8609, total block: 16091
Cost = 16, Tag Correct(%) = 0.86595
current: 8709, total block: 16091
Cost = 8, Tag Correct(%) = 0.865969
current: 8809, total block: 16091
Cost = 1, Tag Correct(%) = 0.865986
current: 8909, total block: 16091
Cost = 8, Tag Correct(%) = 0.866061
current: 9009, total block: 16091
Cost = 0, Tag Correct(%) = 0.865916
current: 9109, total block: 16091
Cost = 4, Tag Correct(%) = 0.866113
current: 9209, total block: 16091
Cost = 1, Tag Correct(%) = 0.866099
current: 9309, total block: 16091
Cost = 1, Tag Correct(%) = 0.86616
current: 9409, total block: 16091
Cost = 2, Tag Correct(%) = 0.866235
current: 9509, total block: 16091
Cost = 4, Tag Correct(%) = 0.866254
current: 9609, total block: 16091
Cost = 10, Tag Correct(%) = 0.866396
current: 9709, total block: 16091
Cost = 2, Tag Correct(%) = 0.866548
current: 9809, total block: 16091
Cost = 2, Tag Correct(%) = 0.866741
current: 9909, total block: 16091
Cost = 4, Tag Correct(%) = 0.866713
current: 10009, total block: 16091
Cost = 5, Tag Correct(%) = 0.866813
current: 10109, total block: 16091
Cost = 2, Tag Correct(%) = 0.866781
current: 10209, total block: 16091
Cost = 6, Tag Correct(%) = 0.866918
current: 10309, total block: 16091
Cost = 2, Tag Correct(%) = 0.867051
current: 10409, total block: 16091
Cost = 4, Tag Correct(%) = 0.867103
current: 10509, total block: 16091
Cost = 10, Tag Correct(%) = 0.867103
current: 10609, total block: 16091
Cost = 13, Tag Correct(%) = 0.867135
current: 10709, total block: 16091
Cost = 1, Tag Correct(%) = 0.867351
current: 10809, total block: 16091
Cost = 3, Tag Correct(%) = 0.867462
current: 10909, total block: 16091
Cost = 3, Tag Correct(%) = 0.867494
current: 11009, total block: 16091
Cost = 3, Tag Correct(%) = 0.867596
current: 11109, total block: 16091
Cost = 13, Tag Correct(%) = 0.867541
current: 11209, total block: 16091
Cost = 1, Tag Correct(%) = 0.867642
current: 11309, total block: 16091
Cost = 5, Tag Correct(%) = 0.86768
current: 11409, total block: 16091
Cost = 0, Tag Correct(%) = 0.867738
current: 11509, total block: 16091
Cost = 8, Tag Correct(%) = 0.867822
current: 11609, total block: 16091
Cost = 1, Tag Correct(%) = 0.867873
current: 11709, total block: 16091
Cost = 6, Tag Correct(%) = 0.867957
current: 11809, total block: 16091
Cost = 0, Tag Correct(%) = 0.868032
current: 11909, total block: 16091
Cost = 9, Tag Correct(%) = 0.868136
current: 12009, total block: 16091
Cost = 2, Tag Correct(%) = 0.868142
current: 12109, total block: 16091
Cost = 4, Tag Correct(%) = 0.868095
current: 12209, total block: 16091
Cost = 0, Tag Correct(%) = 0.868169
current: 12309, total block: 16091
Cost = 6, Tag Correct(%) = 0.868287
current: 12409, total block: 16091
Cost = 4, Tag Correct(%) = 0.868424
current: 12509, total block: 16091
Cost = 1, Tag Correct(%) = 0.868474
current: 12609, total block: 16091
Cost = 2, Tag Correct(%) = 0.868517
current: 12709, total block: 16091
Cost = 0, Tag Correct(%) = 0.868534
current: 12809, total block: 16091
Cost = 3, Tag Correct(%) = 0.868722
current: 12909, total block: 16091
Cost = 3, Tag Correct(%) = 0.868763
current: 13009, total block: 16091
Cost = 2, Tag Correct(%) = 0.868902
current: 13109, total block: 16091
Cost = 1, Tag Correct(%) = 0.868983
current: 13209, total block: 16091
Cost = 0, Tag Correct(%) = 0.869158
current: 13309, total block: 16091
Cost = 0, Tag Correct(%) = 0.86919
current: 13409, total block: 16091
Cost = 8, Tag Correct(%) = 0.869337
current: 13509, total block: 16091
Cost = 5, Tag Correct(%) = 0.869426
current: 13609, total block: 16091
Cost = 2, Tag Correct(%) = 0.869493
current: 13709, total block: 16091
Cost = 7, Tag Correct(%) = 0.869474
current: 13809, total block: 16091
Cost = 1, Tag Correct(%) = 0.869586
current: 13909, total block: 16091
Cost = 2, Tag Correct(%) = 0.869663
current: 14009, total block: 16091
Cost = 6, Tag Correct(%) = 0.869748
current: 14109, total block: 16091
Cost = 2, Tag Correct(%) = 0.8698
current: 14209, total block: 16091
Cost = 2, Tag Correct(%) = 0.869851
current: 14309, total block: 16091
Cost = 2, Tag Correct(%) = 0.869993
current: 14409, total block: 16091
Cost = 2, Tag Correct(%) = 0.869996
current: 14509, total block: 16091
Cost = 0, Tag Correct(%) = 0.869981
current: 14609, total block: 16091
Cost = 0, Tag Correct(%) = 0.87004
current: 14709, total block: 16091
Cost = 3, Tag Correct(%) = 0.870109
current: 14809, total block: 16091
Cost = 3, Tag Correct(%) = 0.870147
current: 14909, total block: 16091
Cost = 4, Tag Correct(%) = 0.870202
current: 15009, total block: 16091
Cost = 5, Tag Correct(%) = 0.870288
current: 15109, total block: 16091
Cost = 0, Tag Correct(%) = 0.870382
current: 15209, total block: 16091
